2025-09-29 17:38:06 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 17:38:06 | INFO | root | 공통 로그 파일: ./logs/curriculum.log
2025-09-29 17:38:06 | INFO | root | Curriculum 전용 로그 파일: ./curriculum.log
2025-09-29 17:38:44 | INFO | service.curriculumService | 쿼리 처리: 인공지능과 반도체를 결합한 커리큘럼을 짜줘

[확장정보] 배경정보: Looking for a curriculum that combines artificial intelligence and semiconductor technology. | 관련키워드: 인공지능, AI, 반도체, 커리큘럼, 컴퓨터공학과, 전자공학과...
2025-09-29 17:39:20 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 17:39:20 | ERROR | service.curriculumService | 쿼리 처리 실패: 학과 데이터 파일을 찾을 수 없습니다: ./data/department_Dataset.pkl
2025-09-29 17:39:20 | ERROR | controller.curriculumController | ❌ API 요청 처리 오류: 학과 데이터 파일을 찾을 수 없습니다: ./data/department_Dataset.pkl
2025-09-29 17:55:33 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 17:55:33 | INFO | root | 공통 로그 파일: ./logs/curriculum.log
2025-09-29 17:55:33 | INFO | root | Curriculum 전용 로그 파일: ./curriculum.log
2025-09-29 18:01:02 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 18:01:02 | INFO | root | 공통 로그 파일: ./logs/curriculum.log
2025-09-29 18:01:02 | INFO | root | Curriculum 전용 로그 파일: ./curriculum.log
2025-09-29 18:01:32 | INFO | service.curriculumService | 쿼리 처리: 인공지능과 반도체를 결합한 커리큘럼을 짜줘

[확장정보] 배경정보: Looking for a curriculum that combines artificial intelligence and semiconductor studies. | 관련키워드: 인공지능, AI, 반도체, 커리큘럼, 컴퓨터공학과, 전자공학과, 회로설계, 신호처리...
2025-09-29 18:02:10 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 18:02:10 | INFO | service.search.department_retriever | 학과 데이터 로드 완료: 80개 학과
2025-09-29 18:02:11 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 18:02:12 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 18:02:12 | ERROR | service.curriculumService | 쿼리 처리 실패: recursive_top1_selection() got an unexpected keyword argument 'self'
2025-09-29 18:02:12 | ERROR | controller.curriculumController | ❌ API 요청 처리 오류: recursive_top1_selection() got an unexpected keyword argument 'self'
2025-09-29 18:02:12 | INFO | service.curriculumService | 쿼리 처리: 인공지능과 반도체를 결합한 커리큘럼을 짜줘

[확장정보] 배경정보: Looking for a curriculum that combines artificial intelligence and semiconductor studies. | 관련키워드: 인공지능, AI, 반도체, 커리큘럼, 컴퓨터공학과, 전자공학과...
2025-09-29 18:02:29 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 18:02:31 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 18:02:31 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 18:02:31 | ERROR | service.curriculumService | 쿼리 처리 실패: recursive_top1_selection() got an unexpected keyword argument 'self'
2025-09-29 18:02:31 | ERROR | controller.curriculumController | ❌ API 요청 처리 오류: recursive_top1_selection() got an unexpected keyword argument 'self'
2025-09-29 18:06:24 | INFO | service.curriculumService | 쿼리 처리: 컴공에서 인공지능과 반도체를 결합한 커리큘럼을 짜줘 (이전 분석: 학과: 컴퓨터인공지능학부)...
2025-09-29 18:06:42 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 18:06:42 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
